,SP500,US_10Y,Oil,Bitcoin
2015-05-07,2088.0,2.18,58.99,237.99
2015-05-08,2116.1,2.16,59.41,244.54
2015-05-11,2105.33,2.28,59.23,242.86
2015-05-12,2099.12,2.28,60.72,242.03
2015-05-13,2098.48,2.27,60.5,236.32
2015-05-14,2121.1,2.23,59.89,237.46
2015-05-15,2122.73,2.14,59.73,237.82
2015-05-18,2129.2,2.23,59.44,234.04
2015-05-19,2127.83,2.27,57.3,232.59
2015-05-20,2125.85,2.26,58.96,234.54
2015-05-21,2130.82,2.19,60.18,235.77
2015-05-22,2126.06,2.21,58.88,240.45
2015-05-25,,,,237.43
2015-05-26,2104.2,2.14,57.29,236.79
2015-05-27,2123.48,2.14,57.51,237.35
2015-05-28,2120.79,2.13,57.69,237.34
2015-05-29,2107.39,2.12,60.25,236.89
2015-06-01,2111.73,2.19,60.24,223.56
2015-06-02,2109.6,2.27,61.3,225.85
2015-06-03,2114.07,2.38,59.67,225.86
2015-06-04,2095.84,2.31,58.0,224.57
2015-06-05,2092.83,2.41,59.11,224.97
2015-06-08,2079.28,2.39,58.15,229.1
2015-06-09,2080.15,2.42,60.15,229.18
2015-06-10,2105.2,2.5,61.36,228.73
2015-06-11,2108.86,2.39,60.74,229.69
2015-06-12,2094.11,2.39,59.96,229.47
2015-06-15,2084.43,2.36,59.53,236.99
2015-06-16,2096.29,2.32,60.01,251.91
2015-06-17,2100.44,2.32,59.89,250.25
2015-06-18,2121.24,2.35,60.41,249.27
2015-06-19,2109.99,2.26,59.62,246.33
2015-06-22,2122.85,2.37,60.01,247.5
2015-06-23,2124.2,2.42,61.05,244.52
2015-06-24,2108.58,2.38,60.01,240.04
2015-06-25,2102.31,2.4,59.59,242.44
2015-06-26,2101.49,2.49,59.41,243.0
2015-06-29,2057.64,2.33,58.34,257.54
2015-06-30,2063.11,2.35,59.48,263.82
2015-07-01,2077.42,2.43,56.94,259.02
2015-07-02,2076.78,2.4,56.93,254.85
2015-07-03,,,,256.95
2015-07-06,2068.76,2.3,52.48,269.94
2015-07-07,2081.34,2.27,52.33,266.18
2015-07-08,2046.68,2.22,51.61,270.97
2015-07-09,2051.31,2.32,52.76,269.75
2015-07-10,2076.62,2.42,52.74,286.67
2015-07-13,2099.6,2.44,52.19,293.08
2015-07-14,2108.95,2.41,53.05,287.51
2015-07-15,2107.4,2.36,51.4,285.7
2015-07-16,2124.29,2.36,50.9,279.38
2015-07-17,2126.64,2.34,50.88,280.58
2015-07-20,2128.28,2.38,50.11,280.0
2015-07-21,2119.21,2.35,50.59,277.32
2015-07-22,2114.15,2.33,49.27,277.89
2015-07-23,2102.15,2.28,48.11,277.39
2015-07-24,2079.65,2.27,47.98,289.12
2015-07-27,2067.64,2.23,47.17,294.21
2015-07-28,2093.25,2.26,47.97,295.76
2015-07-29,2108.57,2.29,48.77,290.19
2015-07-30,2108.63,2.28,48.53,288.49
2015-07-31,2103.84,2.2,47.11,285.19
2015-08-03,2098.04,2.16,45.25,280.95
2015-08-04,2093.32,2.23,45.75,285.51
2015-08-05,2099.84,2.28,45.13,282.77
2015-08-06,2083.56,2.23,44.69,279.65
2015-08-07,2077.57,2.18,43.87,279.94
2015-08-10,2104.18,2.24,44.94,265.15
2015-08-11,2084.07,2.15,43.11,271.99
2015-08-12,2086.05,2.14,43.22,266.94
2015-08-13,2083.39,2.19,42.27,264.67
2015-08-14,2091.54,2.2,42.45,266.17
2015-08-17,2102.44,2.16,41.93,257.31
2015-08-18,2096.92,2.2,42.58,221.99
2015-08-19,2079.61,2.12,40.75,227.34
2015-08-20,2035.73,2.09,41.0,235.56
2015-08-21,1970.89,2.05,40.45,232.85
2015-08-24,1893.21,2.01,38.22,211.16
2015-08-25,1867.61,2.12,39.15,223.73
2015-08-26,1940.51,2.18,38.5,226.81
